timestamp_query,distance_query,angle_query,timestamp_gallery,distance_gallery,angle_gallery
1604045505.616916,304.8208312988281,37.69475555419922,1604045505.658807,308,38.69384765625
1604045506.629602,304.62750244140625,37.13924026489258,1604045506.662283,308,38.0401611328125
1604045507.7211,304.5585021972656,36.260955810546875,1604045507.672532,308,37.2271728515625
1604045508.919992,303.91326904296875,35.52606201171875,1604045508.893617,307,36.573486328125
1604045510.011957,304.20147705078125,35.08776092529297,1604045510.06082,307,36.1505126953125
1604045511.083113,304.62908935546875,35.01175308227539,1604045511.081329,307,36.0955810546875
1604045512.136365,304.6490173339844,34.79325485229492,1604045512.062685,307,35.914306640625
1604045513.215106,304.3956298828125,34.79009246826172,1604045513.277329,306,36.01318359375
1604045514.315874,304.492431640625,35.42039108276367,1604045514.25968,307,36.54052734375
1604045515.41915,304.7160949707031,35.95329666137695,1604045515.473994,308,37.11181640625
1604045516.51663,304.9511413574219,36.32416915893555,1604045516.471954,307,37.430419921875
1604045517.519915,305.0740966796875,36.682472229003906,1604045517.479354,308,37.781982421875
1604045518.565347,305.2987060546875,37.17272186279297,1604045518.472345,308,38.199462890625
1604045519.616033,305.71807861328125,37.6705207824707,1604045519.708243,307,38.792724609375
1604045520.71576,305.7809143066406,37.95210266113281,1604045520.677376,308,39.0234375
1604045521.731615,305.6390075683594,37.868865966796875,1604045521.688362,308,38.9849853515625
1604045522.818344,306.2234802246094,38.13447189331055,1604045522.874658,308,39.2486572265625
1604045523.918905,306.2536926269531,38.30361557006836,1604045523.867715,307,39.3695068359375
1604045525.014258,306.3804626464844,38.03733444213867,1604045525.079582,307,39.2376708984375
1604045526.015336,306.6639099121094,38.39945602416992,1604045526.07446,308,39.48486328125
1604045527.015933,306.7020263671875,38.483497619628906,1604045527.058475,308,39.5672607421875
1604045528.123495,306.8865966796875,38.0290641784668,1604045528.063442,310,39.2266845703125
1604045529.217585,307.3614807128906,38.298152923583984,1604045529.27512,309,39.4683837890625
1604045530.344298,307.3186950683594,38.71688461303711,1604045530.262685,310,39.847412109375
1604045531.514643,307.7921142578125,38.94953918457031,1604045531.457856,310,40.0946044921875
1604045532.675938,308.1364440917969,39.377986907958984,1604045532.67398,311,40.484619140625
1604045533.815537,308.17108154296875,39.66164016723633,1604045533.882906,311,40.869140625
1604045534.915018,308.4543762207031,40.36335754394531,1604045534.864253,311,41.572265625
1604045536.015193,308.7195739746094,41.03833770751953,1604045536.072308,312,42.1710205078125
1604045537.118281,309.2830810546875,41.05169677734375,1604045537.076137,310,42.110595703125
